Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
Solend,ICO,11/3/2021,  26.000.000 ,,,,,,,Solana,DeFi borrowing and lending platform,,DeFi,DeFi,,,,
FINEXITY AG,Pre-Seed,10/23/2018,  1.066.000 ,,,,,,,,Germanys first blockchain-based real asset investment platform.,,,Infrastructures,,,,
Argus,Seed,6/6/2023,  10.000.000 ,,,No,Đã mint NFT,No,https://x.com/arguslabs_,,,https://www.coindesk.com/web3/2023/06/06/haun-ventures-leads-10m-seed-round-for-web3-gaming-studio-argus/,Gamefi,GameFi,Tooling,Management Software,Gaming,Tooling;Management Software;Gaming
BullBear AI,Strategic,6/4/2023,  1.000.000 ,,,Yes,,,https://x.com/bullbear_ai?lang=en,,,https://twitter.com/bullbear_ai/status/1665387459830771712?s=20,Gamefi,GameFi,Gambling,AI,,Gambling;AI
Tempus,Strategic Round,11/4/2021,  4.000.000 ,,,,,,,,optimize yield farming,https://tracxn.com/d/companies/tempus/__gPND126J3SckTC3cfq1thryr5k7_ogzN74E3YBhVR3I/funding-and-investors,DeFi,DeFi,,,,
Dappsradar,Seed,10/5/2021,  3.200.000 ,,,,,,,,DappsRadar provides a global app store for decentralized applications.,,,Web3,,,,
Stackswap,Seed,11/5/2021,  1.300.000 ,,,,,,,Stacks,Stackswap is a decentralized exchange (DEX) that issues and exchanges tokens on the Stacks blockchain.,,DeFi,DeFi,,,,
Minds,Series A,10/22/2018,  6.000.000 ,,,,,,,,Minds is an open source social network on a mission to reward creators and elevate global discourse through Internet freedom.,,,Infrastructures,,,,
ADAB Solutions,Series A,10/18/2018,  1.700.000 ,,,,,,,,We align the crypto assets with the moral and cultural values of Islam by creating a cryptocurrency platform for Muslims and the world,,,Infrastructures,,,,
iCommunity Labs,ICO,10/4/2021,  1.650.000 ,,,,,,,,Helping companies implement their vision using Blockchain in an easy way with APIs & SaaS Blockchain solutions,,,Web3,,,,
IO Systems,Series A,11/8/2021,  20.000.000 ,,,,,,,,IO Systems is a platform providing liquidity and security to the crypto economy in Central Asia through Machine Learning,,,DeFi,,,,
Meow,Seed,11/8/2021,  5.000.000 ,,,,,,,,Meow provides corporate treasurers a regulated way to source yields from new asset classes.,,,DeFi,,,,
Marathon Digital,Post-IPO Debt,10/4/2021,  100.000.000 ,,,,,,,,Marathon is a digital asset technology company that mines cryptocurrencies and focuses on securing and supporting the Bitcoin ecosystem.,,Mining,Web3,,,,
Mask Network,Seed,10/15/2018,  550.000 ,,,,,,,,"Mask Network is the Portal to the New, Open Internet.",,,Infrastructures,,,,
CoinShare,ICO,10/13/2018,  2.310.000 ,,,,,,,,CoinShare is a collaborative social shopping platform,,,Infrastructures,,,,
Themis,,11/9/2021,  2.000.000 ,,,,,,,,Themis is a decentralized digital currency custody platform.,,CeFi,DeFi,,,,
Bitrefill,,4/10/2021,  7.000.000 ,,,,,,,,"Bitrefill offers gift cards, mobile phone refills, and lightning network services on a global scale, receiving bitcoin and cryptocurrencies.",,,Service,Mobile,,,Mobile
Telos,Seed,11/9/2021,  8.000.000 ,,,,,,,Telos,Telos provides the third-generation blockchain platform.,,L1,Infrastructures,Layer-1,,,Layer-1
The Chaos,Seed,10/1/2021,  1.000.000 ,,,,,,,,The Chaos is a community dedicated to developing a series of projects combining NFT and high-quality fashion content.,,,Web3,,,,
Paras,Seed,11/9/2021,  5.000.000 ,,,,,,,,Paras is a digital marketplace for crypto collectibles and non-fungible tokens (NFTs).,,NFT,NFT,,,,
Iris Energy,Convertible note issuance,10/1/2021,  115.000.000 ,,,,,,,,Iris Energy operates data centers that mine Bitcoin using hydroelectricity.,,Mining,Web3,,,,
WOO Network,Series A,11/9/2021,  30.000.000 ,,,,,,,,"WOO Network is a digital assets liquidity network connecting traders, exchanges, institutions, and DeFi platforms.",,Centralized Exchange,DeFi,,,,
SolarMente,Seed,10/1/2021,  2.000.000 ,,,,,,,,SolarMente installs and finances solar rooftops in Spain,,,Web3,,,,
Forza Ikonia,,11/10/2021,  1.250.000 ,,,,,,,,Forza Ikonia is a walletless NFT platform.,,NFT,NFT,NFT,,,NFT
Lucid Sight,,6/10/2021,  2.580.000 ,,,,,,,,"Lucid Sight is a computer software company that specializes in blockchain, augmented reality, and virtual reality.",,Infrastructure,Infrastructures,Tooling,Metaverse,,Tooling;Metaverse
Knabu Distributed Systems Ltd,Seed,10/1/2021,  2.500.000 ,,,,,,,,We are developing a Token Driven Development DApp to enable credible token projects,,,Web3,,,,
"Cheeze, Inc",Pre-Seed,11/10/2021,  1.800.000 ,,,,,,,,Mint your photos on the blockchain.,,NFT,NFT,,,,
BetDEX,Seed,11/11/2021,  21.000.000 ,,,,,,,,BetDEX is the decentralized sports betting protocol.,,DeFi,DeFi,,,,
Arcade2Earn,Seed,10/19/2022,  3.200.000 ,,,No,No,Yes,https://x.com/arcade2earn,Solana,Solana GameFi,https://twitter.com/arcade2earn/status/1582760127710785536,Gaming,GameFi,Gaming,,,Gaming
Coinshift,Seed,9/30/2021,  2.500.000 ,,,,,,,,Coinshift is a crypto treasury management platform that helps businesses and decentralized autonomous organizations.,,,Web3,,,,
The Meta Residence Tower,Grant,5/31/2023,  110.000 ,,,Yes,,,,,,https://governance.decentraland.org/proposal/?id=b7308600-f4b2-11ed-9bc2-e5fe350d0c93,Gamefi,GameFi,Gaming,,,Gaming
DAOLaunch,Seed,11/11/2021,  1.600.000 ,,,,,,,,Decentralized Venture Capital,,DeFi,DeFi,,,,
Saddle Finance,Series A,11/11/2021,  7.500.000 ,,,,,,,"Ethereum,Arbitrum,Optimism,Evmos,Fantom,Kava",Saddle Finance is an automated market maker (AMM) optimized for pegged value crypto assets.,,DeFi,DeFi,,,,
Data Gumbo,Convertible note issuance,10/1/2018,  1.850.000 ,,,,,,,,The smart contract network company trusted by global industrial enterprises,,,Infrastructures,,,,
Illuvium,Strategic,5/30/2023,  10.000.000 ,,,No,Đã mint NFT,Yes,https://x.com/illuviumio?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,https://discord.com/channels/760344898200666112,Gamefi,GameFi,Gaming,,,Gaming
Soluna,Seed,11/12/2021,  3.480.000 ,,,,,,,Terra,Soluna is a blockchain company powering the blockchain-economy with low-cost renewable energy.,,DeFi,DeFi,,,,
DeGame,Undisclosed,5/30/2023,  6.500.000 ,,,No,Đã mint NFT,No,https://x.com/degame_l2y?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,https://cointelegraph.com/press-releases/degame-launches-proof-of-contribution-platform-after-raising-65m,Gamefi,GameFi,Gaming,,,Gaming
Imperium Empires,Seed,11/12/2021,  2.100.000 ,,,,,,,,"Imperium Empires builds a AAA-quality metaverse with an experienced team of in-house game developers, game designers",,Metaverse,NFT,NFT,,,NFT
Rain,,11/12/2021,  75.000.000 ,,,,,,,,Rain is an operator and custodian of digital currency exchange intended to make digital transactions.,,Centralized Exchange,CeFi,CEX,,,CEX
HIVE Blockchain,Post-IPO Equity,11/14/2021,  110.000.000 ,,,,,,,,HIVE Blockchain is a partnership between Genesis Mining and Fiore Group to accelerate the development of the blockchain sector.,,,Service,,,,
The Luxury,Seed,9/29/2021,  10.000.000 ,,,,,,,,"Concierge - Lifestyle Management, Financial Technology, Entertainment & Tourism",,,Web3,,,,
HyperTrader,Seed,11/15/2021,  1.430.000 ,,,,,,,,Democratizing access to trading technologies,,Trading,CeFi,CEX,,,CEX
Unlock,Seed,9/28/2021,  4.000.000 ,,,,,,,,Unlock is an access control protocol built on blockchain that let creators monetize their content without relying on a middleman.,,,Web3,,,,
Dunamu,Secondary Market,9/23/2021,  85.120.000 ,,,,,,,,Dunamu provides a wide range of innovative services with a focus on fintech and blockchain.,,,Web3,,,,
Alex,Seed,11/15/2021,  5.800.000 ,,,,,,,Stacks,Alex is an open-source DeFi development business based on the Stacks Blockchain and inspired by financial markets throughout the world.,,DeFi,DeFi,,,,
Arival,Convertible note issuance,9/23/2021,  5.000.000 ,,,,,,,,A fintech company building banking services for businesses and entrepreneurs across the world.,,,Web3,,,,
Littio,Pre-Seed,11/15/2021,  3.700.000 ,,,,,,,,Latin Americas first financial ecosystem in U.S. dollars through the power of a savings account in USDC and global card in a mobile app.,,CeFi,CeFi,CEX,,,CEX
MetaZone,Seed,5/30/2023,  3.000.000 ,,,Yes,,,,,,https://medium.com/metazoneio/metazone-secures-funding-to-expand-the-worlds-first-tokenized-app-platform-for-the-metaverse-2f680ed79938,Gamefi,GameFi,Gaming,,,Gaming
Burn Ghost,Seed,11/29/2022,  3.100.000 ,,,No,No,Yes,https://x.com/burnghostgames,,Web3 game,https://twitter.com/burnghostgames/status/1597596014453850114,,GameFi,Gaming,,,Gaming
Sentient.io,Series A,9/28/2018,  1.240.000 ,,,,,,,,Sentient.io is an AI and Data platform helping to deploy AI solutions and integrate AI into existing businesses.,,,Infrastructures,Data Service,,,Data Service
DigiNation,Seed,11/16/2021,  2.400.000 ,,,,,,,,DigiNation is a Web3 Metaverse featuring NFT-based innovation.,,Metaverse,NFT,NFT,,,NFT
Guardian Link,Series A,11/16/2021,  12.000.000 ,,,,,,,,Guardian Link enables blockchain commerce through its Omni Blockchain legitimacy protocol.,,,NFT,NFT,,,NFT
Nuclio Digital School,,9/23/2021,  1.170.000 ,,,,,,,,"Nuclio Digital School is the business school of Nuclio Venture Builder, the startup incubator driven from Barcelona by Carlos Blanco.",,,Web3,,,,
StarkWare,Series C,11/16/2021,  50.000.000 ,2000000000,,,,,,,STARK-Based Scaling Solutions,https://www.coindesk.com/business/2021/11/16/blockchain-firm-starkware-raises-50m-series-c-funding-round-at-a-2b-valuation/,L2,Infrastructures,Layer-2,,,Layer-2
ARTHUR MINING,Seed,9/22/2021,  2.000.000 ,,,,,,,,it's possible to mine bitcoins with the cheapest energy costs and the best practices of ESG. we make it!,,Mining,Web3,,,,
Lucid Sight,Series A,5/16/2016,  4.500.000 ,,,,,,,,"Lucid Sight is a computer software company that specializes in blockchain, augmented reality, and virtual reality.",,Infrastructure,Infrastructures,,,,
BitClout,ICO,9/21/2021,  200.000.000 ,,,,,,,,BitClout is an open-source social media platform that builds a Proof-of-Work blockchain for its users.,,Social Platform,Web3,Social Network,,,Social Network
Bit2Me,ICO,9/21/2021,  5.840.000 ,,,,,,,,Suite of blockchain services for exchanging cryptocurrencies and boost the adoption of Bitcoin,,,Web3,,,,
BetaBlocks,Seed,11/17/2021,  1.500.000 ,,,,,,,,BetaBlocks is a Co-Builder and Accelerator of early-stage blockchain technology companies.,,,NFT,NFT,,,NFT
Lucid Sight,Seed,12/15/2015,  500.000 ,,,,,,,,"Lucid Sight is a computer software company that specializes in blockchain, augmented reality, and virtual reality.",,Infrastructure,Infrastructures,,,,
Gemini,Series A,11/18/2021,  423.000.000 ,,,,,,,,Gemini is a licensed digital asset exchange and custodian built for both individuals and institutions.,,Centralized Exchange,CeFi,CEX,,,CEX
Investoland,ICO,9/20/2018,  2.400.000 ,,,,,,,,A global decentralized investment platform.,,,Infrastructures,,,,
Cypher,Seed,11/18/2021,  2.100.000 ,,,,,,,Solana,"Cypher is a decentralized synthetic asset protocol, allowing retail and institutional investors to create and trade pre-public markets.",,DeFi,DeFi,,,,
IPX,Undisclosed,5/25/2023,  90.000.000 ,,,Yes,,,,,,https://platum.kr/archives/207546,Gamefi,GameFi,Gaming,,,Gaming
Prysm,Seed,9/21/2021,  3.000.000 ,,,,,,,,"The community ownership platform -- Own anything, together.",,,Web3,IP,,,IP
Marqeta,,4/23/2021,  2.110.000 ,,,,,,,,Marqeta is a card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.,,,Service,,Payment,,Payment
Defy,Seed,11/19/2021,  5.500.000 ,,,,,,,,Defy is Indian-based cryptocurrency exchange platform.,,Centralized Exchange,CeFi,CEX,,,CEX
AlphaNetworks,,9/18/2018,  10.000.000 ,,,,,,,,"The first-ever AI & token-driven entertainment platform that combines on-demand videos, advertising and pay-per-view onto one network",,,Infrastructures,,,,
Vault Hill,Pre-Seed,9/18/2021,  2.100.000 ,,,,,,,,A human-centric metaverse designed to make you feel more human,,Metaverse,Web3,,,,
Seeded Network,Seed,11/19/2021,  1.250.000 ,,,,,,,,"Seeded Network is a project incubator with borrowing, lending, and staking solutions protocol on traditional DeFi integration platform.",,DeFi,DeFi,Lending,,,Lending
Lucy Labs,Seed,11/19/2021,  3.000.000 ,,,,,,,,Proprietary AI Trading Platform,,Trading,CeFi,CEX,,,CEX
Audius,,9/16/2021,  5.000.000 ,,,,,,,,"Audius is creating a fully decentralized community of artists, developers, and listeners collaborating to share and defend music.",,,Web3,,,,
Credora,Series A,9/13/2021,  8.000.000 ,,,,,,,,The complete lending solution powered by real-time zero-knowledge risk metrics,,,Web3,,,,
FanFactor,,9/18/2018,  1.500.000 ,,,,,,,,FanFactor is a blockchain based sports fan engagement platform.,,,Infrastructures,,,,
Farworld Labs,Pre-Seed,6/20/2024,  3.000.000 ,,,No,No,No,https://www.farworld.gg/,"Ethereum,Optimism",web3 gaming studio,https://x.com/Lemniscap/status/1803829274064908336,Gaming,GameFi,Gaming,Publisher,,Gaming;Publisher
VerseHub,Angel Round,11/22/2021,  1.000.000 ,,,,,,,,We bring blockchain technology into individual lives and businesses,,,NFT,NFT,,,NFT
MoonPay,Series A,11/22/2021,  555.000.000 ,3400000000,,,,,,,Payments Infrastructure,https://www.coindesk.com/business/2021/11/22/payments-infrastructure-firm-moonpay-raises-555m-at-a-34b-valuation/,,Service,,Payment,,Payment
GoodGang Labs,Seed,5/25/2023,  2.000.000 ,,,Yes,,,,,,https://techcrunch.com/2023/05/24/korean-kakao-nft-avatar-goodgang-labs/,Gamefi,GameFi,Gaming,,,Gaming
Bit2Me,ICO,9/13/2021,  8.760.000 ,,,,,,,,Suite of blockchain services for exchanging cryptocurrencies and boost the adoption of Bitcoin,,,Web3,,,,
COOS,Series A,9/14/2018,  1.455.000 ,,,,,,,,"COOS.AI is a full stack cloud service platform combining PaaS, BaaS and SaaS.",,,Infrastructures,,,,
cmorq,Seed,9/12/2021,  2.750.000 ,,,,,,,,cmorq organizes blockchain data into standard products that empower institutions and individuals.,,,Web3,,,,
Boxed,Pre Seed,5/25/2023,  1.500.000 ,,,Yes,,,,,,https://www.geekwire.com/2023/video-game-loot-box-platform-that-uses-nfts-raises-1-5m/,Gamefi,GameFi,Gaming,,,Gaming
Busha,Seed,11/23/2021,  4.200.000 ,,,,,,,,"Busha is a trusted platform that helps to buy, sell, and manage your cryptocurrency portfolio in the simplest, safest, and most reliable way",,Centralized Exchange,CeFi,CEX,,,CEX
Authtrail,Pre-Seed,9/11/2021,  3.600.000 ,,,,,,,,Authtrail is a Web3 Managed Services Provider with a complete toolbox and access to Polkadots technology stack.,,,Web3,,,,
Staking Rewards,,11/23/2021,  3.210.000 ,,,,,,,,Staking Rewards is the market leader for staking data & research.,,Analytics,DeFi,,,,
EXIP,,9/9/2021,  30.000.000 ,,,,,,,,A Decentralized Internet Governed by the Community,,,Web3,,,,
Metagame Industries,Strategic,5/23/2023,,,,Yes,,,,,,https://www.globenewswire.com/news-release/2023/05/24/2674872/0/en/Metagame-Industries-Announced-the-Successful-Completion-of-the-Strategic-Funding-Round-at-a-Nearly-100-Million-Valuation.html,Gamefi,GameFi,Gaming,,,Gaming
Arena Of Faith,Seed,5/22/2023,  1.750.000 ,,,No,Đã mint NFT,No,https://x.com/moba_aof,,,https://en.foresightnews.pro/web3-gaming-startup-arena-of-faith-raised-1-75m-seed-round-led-by-chain-hill-capital/,Gamefi,GameFi,Gaming,,,Gaming
Bit Origin,Post-IPO Equity,11/24/2021,  16.500.000 ,,,,,,,,Bit Origin is an emerging growth crypto mining company.,,Mining,Service,,,,
Zero Hash,Series B,9/12/2018,  15.000.000 ,,,,,,,,Zero Hash is a B2B digital assets-as-a-service technology platform that offers turnkey solutions such as NFTs for its clients.,,,Infrastructures,Asset Management,Tooling,,Asset Management;Tooling
Celsius Network,Series B,11/24/2021,  750.000.000 ,3250000000,,,,,,,Crypto lender,https://blockworks.co/celsius-expands-its-series-b-from-400m-to-oversubscribed-750m/,CeFi,CeFi,,Lending,,Lending
TabTrader,Series A,11/24/2021,  5.800.000 ,,,,,,,,TabTrader is the mobile crypto trading terminal.,,Trading,CeFi,CEX,,,CEX
Emerald Ocean Ventures,Seed,9/8/2021,  1.000.000 ,,,,,,,,,,,Web3,,,,
TAIKAI Labs,Seed,9/7/2021,  2.370.000 ,,,,,,,,The ultimate virtual hackathons & bounties solution,,,Web3,,,,
Blocky,Grant,11/26/2021,  1.000.000 ,,,,,,,,"Blocky helps people trust data. Our technology, Zipperchain, scales to millions of txs/second with extremely low and predictable costs.",,L1,Infrastructures,Layer-1,,,Layer-1
Harmony launcher,Seed,11/26/2021,  1.700.000 ,,,,,,,Harmony,Harmony Launcher is the decentralized launchpad to feature the concept of IGO & IDO on the Harmony Blockchain.,,DeFi,DeFi,,,,
Dopamine,Seed,11/26/2021,  4.000.000 ,,,,,,,,"Dopamine provides decentralized finance for everybody, everywhere and is the first end-to-end user-centered crypto mobile app.",,,DeFi,,,,
Token Fabrik,Series A,11/26/2021,  1.500.000 ,,,,,,,,Tokenfabrik enables digital investments in industrial IoT-assets with the power of DeFi,,DeFi,DeFi,,,,
BoomLand,Pre Seed,5/22/2023,  1.000.000 ,,,No,Đã mint NFT,No,https://x.com/BoomLandGames?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,https://cointelegraph.com/press-releases/boomland-closes-1m-Pre Seed-round-as-game-release-approaches,Gamefi,GameFi,Gaming,,,Gaming
Parcel,Pre-Seed,9/5/2021,  1.000.000 ,,,,,,,,Parcel empowers people with the tools they need to find their home in the metaverse.,,Metaverse,Web3,,,,
Galaxy Digital,Post-IPO Debt,11/29/2021,  500.000.000 ,,,,,,,,Galaxy Digital is a technology-driven investment firm that provides financial solutions spanning the digital assets ecosystem.,,,CeFi,,Asset Management,,Asset Management
Lemox,Series A,9/3/2021,  7.300.000 ,,,,,,,,A marketplace that enables you to invest in commercial real-estate for as low as $100,,Web3,Web3,,,,
Pinktada,Seed,9/2/2021,  2.500.000 ,,,,,,,,Pinktada transforms hotel booking by enabling tokenization in the travel market.,,,Web3,,,,
Integritee,Series A,11/29/2021,  4.500.000 ,,,,,,,Polkadot,Integritee is a scalable public blockchain solution for securely processing sensitive business or personal data.,,L1,Infrastructures,Layer-1,,,Layer-1
World Play League,Pre Seed,5/18/2023,,,,Yes,,,,,,https://www.einnews.com/pr_news/634491262/world-play-league-raises-Pre Seed-funding-to-revolutionize-web3-gaming,Gamefi,GameFi,Gaming,,,Gaming
Finhaven,Series A,9/12/2018,  5.080.000 ,,,,,,,,"Finhaven is building an investment banking platform supporting the issuance, investment, and trading of digital securities.",,,Infrastructures,,,,
Korbit,,11/29/2021,  75.570.000 ,,,,,,,,"Korbit provides online bitcoin exchange, wallet, and merchant processor services.",,Centralized Exchange,CeFi,CEX,,,CEX
Mean DAO,Seed,11/29/2021,  3.500.000 ,,,,,,,,MeanFi provides a service that automates payment and banking workflows and allows for flexible payment schedules.,,DeFi,DeFi,,,,
MetaMundo,Seed,11/30/2021,  2.700.000 ,,,,,,,,"MetaMundo is a curated marketplace for 3D scenes and assets, enabling anyone to own high quality 3D NFTs for use across the open metaverse.",,Metaverse,NFT,NFT,,,NFT
Algofi,Seed,11/30/2021,  2.800.000 ,,,,,,,Algorand,Algorand DeFi Hub,https://mobile.twitter.com/algofiorg/status/1465746364588077063,DeFi,DeFi,,,,
MYTY,Seed,11/30/2021,  3.500.000 ,,,,,,,,MYTY is a decentralized social platform where people can get off limitations of physical world,,Social Platform,NFT,NFT,,,NFT
Hxro,ICO,11/30/2021,  34.000.000 ,,,,,,,Solana,Hxro is a company that focuses on crypto trading and bitcoin for gaming and entertainment to its customers.,,Trading,CeFi,CEX,,,CEX
Lukka,Series D,3/25/2021,  53.000.000 ,,,,,,,,Lukka is a software company that delivers middle and back-office solutions for the crypto-asset ecosystem.,,Infrastructure,Infrastructures,Tooling,Asset Management,,Tooling;Asset Management
Debitrum,Seed,9/1/2018,  1.500.000 ,,,,,,,,"Debitrum is a blockchain-enabled SaaS platform that targets fraud, inefficiency, and consumer abuse in the distressed debt space.",,,Infrastructures,,,,
Pinoy Teleserye,Seed,9/2/2021,  4.000.000 ,,,,,,,,,,,Web3,,,,
Mercado Bitcoin,Series B,11/30/2021,  50.000.000 ,,,,,,,,CEX,https://www.coindesk.com/business/2021/11/30/brazilian-crypto-unicorn-2tm-raises-50-million-in-series-b-round-extension/,Centralized Exchange,CeFi,CEX,,,CEX
Structure,Seed,12/1/2021,  20.000.000 ,,,,,,,,Structure financial is a global trading platform that aims to facilitate crypto-based investing and lending for mobile users.,,Trading,CeFi,Asset Management,,,Asset Management
DriveMining,ICO,12/1/2021,  1.360.000 ,,,,,,,,"Mobile Mining, Passive Income",,Mining,Service,,,,
Limna,Seed,9/1/2021,  2.500.000 ,,,,,,,,The AI-powered Art Advisor in your Pocket,,,Web3,,,,
Swapin.com,Seed,12/1/2021,  1.850.000 ,,,,,,,,Ultra-fast payments between Crypto and Banks. Use #Bitcoin to transfer money and pay bills. Boost your business by accepting crypto.,,,Service,,,,
Solv Protocol,Series A,12/1/2021,  4.000.000 ,,,,,,,"Ethereum,Polygon,Arbitrum,BSC",NFT Marketplace,https://medium.com/solv-blog/we-have-completed-our-series-a-ffc3f14b6cf1,NFT,NFT,NFT,,,NFT
1Inch,Series B,12/1/2021,  175.000.000 ,2250000000,,,,,,,DEX Aggregator,https://blog.1inch.io/the-1inch-network-closes-a-175-mln-series-b-round-e22d572754ae?gi=31f25303fe7f,DeFi,DeFi,,,,
CINCEL,Seed,9/1/2021,  1.000.000 ,,,,,,,,CINCEL is the easiest digital signature with blockchain for LATAM,,,Web3,,,,
NFTSCAN,Angel Round,12/1/2021,  1.500.000 ,,,,,,,,NFT browser and data analysis platform,https://twitter.com/nftscan_com/status/1476744671019757569,NFT,NFT,NFT,,,NFT
BestSign,Series C,8/31/2018,  52.410.000 ,,,,,,,,"BestSign is the industry's leading online electronic signature, electronic contract signing and electronic signature cloud service platform.",,,Infrastructures,,,,
BeetsDAO,Seed,9/1/2021,  1.600.000 ,,,,,,,,"The DAO connecting the world's creativity by incubating, tokenizing and creating shared incentives for creators and audiences in web3",,,Web3,,,,
Lukka,Series C,12/10/2020,  15.000.000 ,,,,,,,,Lukka is a software company that delivers middle and back-office solutions for the crypto-asset ecosystem.,,Infrastructure,Infrastructures,Tooling,Asset Management,Custody,Tooling;Asset Management;Custody
Witnet,,8/16/2018,  3.000.000 ,,,,,,,,"Witnet is an open source project originally devised by Stampery, the leaders of blockchain-powered data certification.",,Infrastructure,Infrastructures,Data Service,,,Data Service
CoinMover,Seed,12/1/2021,  1.380.000 ,,,,,,,,CoinMover is a provider of exchange traditional cash solutions for digital currency.,,,CeFi,CEX,,,CEX
Axoni,Series B,8/14/2018,  36.000.000 ,,,,,,,,"Axoni offers blockchain infrastructure, distributed application development, and workflow automation tools.",,Infrastructure,Infrastructures,Tooling,Backend,,Tooling;Backend
Poglin,Seed,12/8/2023,  3.000.000 ,,,No,Yes,No,https://x.com/Poglin_Official,,Web3 IP platform,https://x.com/Crypto_Dealflow/status/1733148744051269790,Web3,GameFi,Gaming,,,Gaming
Agrotoken,Seed,12/1/2021,  5.000.000 ,,,,,,,,"Agrotoken is a grain-backed, transactional digital asset used to save or exchange for supplies, services, and other assets.",,,CeFi,CEX,,,CEX
D/Bond,Series A,12/1/2021,  1.200.000 ,,,,,,,,A blockchain platform empowering the creation and trading of decentralised bonds and derivatives,,DeFi,DeFi,,,,
Coinpanion,Seed,8/31/2021,  2.130.000 ,,,,,,,,Coinpanion makes investing in digital assets as easy as investing in stocks with ETFs.,,,Web3,,,,
Lukka,Series A,11/27/2017,  7.800.000 ,,,,,,,,Lukka is a software company that delivers middle and back-office solutions for the crypto-asset ecosystem.,,Infrastructure,Infrastructures,,,,
Syndicate,Series A,8/31/2021,  20.000.000 ,,,,,,,,Syndicate is a decentralized asset management platform and social network.,,,Web3,Social Network,,,Social Network
Weavechain,Pre-Seed,12/1/2021,  1.500.000 ,,,,,,,,Bringing enterprise big data to Web3,,L1,Infrastructures,Layer-1,,,Layer-1
Lukka,Seed,10/10/2014,  500.000 ,,,,,,,,Lukka is a software company that delivers middle and back-office solutions for the crypto-asset ecosystem.,,Infrastructure,Infrastructures,,,,
CAMPFIRE,Series B,8/1/2018,  10.000.000 ,,,,,,,,"CAMPFIRE engages in the planning, development, and operation of a crowd funding platform.",,,Infrastructures,,,,
Getaverse,Undisclosed,5/15/2023,,,,Yes,,,Ít tương tác,,,https://twitter.com/GetaverseGlobal/status/1657938629690290178,Gamefi,GameFi,Gaming,,,Gaming
XMTP,Series A,8/31/2021,  20.000.000 ,,,,,,,,"XMTP is a communication protocol and network that connects communities, creators, protocols, applications, and users.",,,Web3,,,,
Subspace Labs,Seed,6/2/2021,  4.500.000 ,,,,,,,,"Subspace is an open, scalable platform for both storage and compute that is fully interoperable with any layer one.",,,Infrastructures,Storage,,,Storage
Byt,Pre-Seed,12/1/2021,  1.500.000 ,,,,,,,,The world's first chain agnostic NFT marketplace and NFT ecosystem.,,NFT,NFT,,,,
TeraWulf,Private Equity,12/2/2021,  76.500.000 ,,,,,,,,TeraWulf is a bitcoin mining company that produces zero-carbon energy for crypto mining.,https://www.coindesk.com/business/2021/12/03/bitcoin-miner-terawulf-raises-200m-in-debt-and-equity/,Mining,Service,Bitcoin,Mining,Carbon Credit,Bitcoin;Mining;Carbon Credit
Ambire,Seed,12/2/2021,  3.200.000 ,,,,,,,Ethereum,Ambire is a product company that develops Ambire Wallet and the Ambire AdEx (previously AdEx Network).,https://blog.ambire.com/we-raised-2-5m-in-funding-for-ambire-wallet/,DeFi,DeFi,,,,
Platypus,Seed,12/2/2021,  3.300.000 ,,,,,,,Avalanche,Stableswap,https://twitter.com/Platypusdefi/status/1466396487449939972,DeFi,DeFi,,,,
BiUP,,7/26/2018,  10.000.000 ,,,,,,,,BiUP is a currency exchange platform.,,,Infrastructures,,,,
BlockMint,Seed,7/20/2018,  5.060.000 ,,,,,,,,"Distributed networks,  Distributed Systems, Blockchain,  Cryptocurrency,  Machine Learning",,,Infrastructures,,,,
Lifeform,Series B,5/15/2023,,,,No,Đã mint NFT,No,https://x.com/Lifeformcc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,,https://twitter.com/Lifeformcc/status/1658072267103043585?s=20,Gamefi,GameFi,Gaming,,,Gaming
Voltage Finance,Seed,12/2/2021,  3.400.000 ,,,,,,,Fuse,Voltage is a DeFi hub & non-custodial platform that brings cutting edge financial tools to fingertips.,https://cointelegraph.com/press-releases/voltage-finance-closes-34m-private-round-releases-details-of-token-launch,DeFi,DeFi,,,,
TeraWulf,Debt Financing,12/2/2021,  123.500.000 ,,,,,,,,TeraWulf is a bitcoin mining company that produces zero-carbon energy for crypto mining.,https://www.coindesk.com/business/2021/12/03/bitcoin-miner-terawulf-raises-200m-in-debt-and-equity/,Mining,Service,Bitcoin,Mining,Carbon Credit,Bitcoin;Mining;Carbon Credit
The Game Company,Pre Seed,5/12/2023,  5.000.000 ,,,Yes,,,Ít tương tác,,,https://www.globenewswire.com/news-release/2023/05/12/2667531/0/en/The-Game-Company-Raises-5-Million-at-40-Million-Valuation.html,Gamefi,GameFi,Gaming,,,Gaming
